observation_id,species,sighting_time,location,trigger_type
WT0001,Peacock,2026-04-16 04:16,Zone_B,Motion
WT0002,Peacock,2026-03-01 20:49,Zone_B,Motion
WT0003,Leopard,2026-05-16 11:35,Zone_B,Motion
WT0004,Boar,2026-03-13 21:09,Zone_B,Blank
WT0005,Peacock,2026-01-26 10:16,Zone_D,Motion
WT0006,Deer,2026-05-31 03:04,Zone_C,Motion
WT0007,Elephant,2026-02-27 04:01,Zone_C,Motion
WT0008,Elephant,2026-02-25 17:55,Zone_B,Blank
WT0009,Boar,2026-05-18 07:43,Zone_A,Motion
WT0010,Leopard,2026-03-19 01:54,Zone_B,Motion
WT0011,Elephant,2026-04-30 20:24,Zone_A,Motion
WT0012,Deer,2026-01-25 13:00,Zone_B,Blank
WT0013,Deer,2026-01-02 20:52,Zone_B,Blank
WT0014,Peacock,2026-02-22 01:30,Zone_B,Motion
WT0015,Deer,2026-06-03 07:18,Zone_C,Blank
WT0016,Deer,2026-03-04 17:02,Zone_D,
WT0017,Boar,2026-01-29 09:35,Zone_B,Blank
WT0018,Elephant,2026-06-21 02:49,Zone_C,Blank
WT0019,Elephant,2026-02-23 18:26,Zone_D,
WT0020,Peacock,2026-02-12 10:06,Zone_A,Blank
WT0021,Elephant,2026-02-18 00:09,Zone_D,Motion
WT0022,Boar,2026-05-15 11:54,Zone_D,Motion
WT0023,Peacock,2026-07-28 04:41,Zone_D,Blank
WT0024,Peacock,2026-02-10 03:50,Zone_D,Motion
WT0025,Leopard,2026-04-02 21:16,Zone_C,Blank
WT0026,Peacock,2026-07-18 09:47,Zone_D,Blank
WT0027,Peacock,2026-01-07 22:34,Zone_C,Blank
WT0028,Leopard,2026-02-17 13:39,Zone_C,Motion
WT0029,Deer,2026-06-25 14:02,Zone_C,Motion
WT0030,Deer,2026-02-24 00:22,Zone_A,Blank
WT0031,Leopard,2026-01-19 09:45,Zone_C,Motion
WT0032,Leopard,2026-04-07 16:44,Zone_D,Motion
WT0033,Leopard,2026-01-18 19:12,Zone_C,Motion
WT0034,Leopard,2026-04-12 21:08,Zone_A,Blank
WT0035,Peacock,2026-01-16 06:27,,Blank
WT0036,Peacock,2026-03-26 06:34,Zone_A,Motion
WT0037,Elephant,2026-03-04 10:22,Zone_C,Motion
WT0038,Boar,2026-01-30 04:33,Zone_C,Motion
WT0039,Peacock,2026-04-22 19:12,Zone_B,Motion
WT0040,Boar,2026-05-10 04:56,Zone_C,Motion
WT0041,Peacock,2026-01-30 16:09,Zone_C,Blank
WT0042,Peacock,2026-07-19 22:39,Zone_B,Motion
WT0043,Leopard,2026-01-02 11:04,Zone_D,Motion
WT0044,Leopard,2026-04-18 12:54,Zone_A,Blank
WT0045,Leopard,2026-07-11 22:42,Zone_B,Motion
WT0046,Leopard,2026-06-16 09:51,Zone_C,Motion
WT0047,Leopard,2026-02-14 05:15,Zone_C,Motion
WT0048,Deer,2026-02-18 02:34,Zone_A,Motion
WT0049,Elephant,2026-04-30 05:21,Zone_A,Motion
WT0050,Peacock,2026-07-18 02:00,Zone_C,Blank
WT0051,Peacock,2026-05-15 06:48,Zone_A,Motion
WT0052,Elephant,2026-02-22 18:28,Zone_D,Motion
WT0053,Deer,2026-06-15 05:49,Zone_D,Motion
WT0054,Deer,2026-03-23 23:12,Zone_D,Motion
WT0055,Elephant,2026-03-31 06:48,Zone_D,Blank
WT0056,Elephant,2026-06-20 07:03,Zone_B,Motion
WT0057,Elephant,2026-03-27 07:19,Zone_A,Motion
WT0058,Leopard,2026-06-22 00:44,Zone_C,Motion
WT0059,Boar,2026-06-17 04:57,Zone_B,Motion
WT0060,Elephant,2026-02-04 04:39,Zone_C,Motion
WT0061,Leopard,2026-02-25 15:49,Zone_D,Motion
WT0062,Peacock,2026-05-02 06:05,Zone_D,Motion
WT0063,Leopard,2026-02-27 13:13,Zone_D,Motion
WT0064,Leopard,2026-07-29 21:23,Zone_D,Motion
WT0065,Leopard,2026-05-27 12:59,Zone_A,Motion
WT0066,Deer,2026-06-26 12:52,Zone_C,Motion
WT0067,Deer,2026-03-01 16:53,Zone_B,Blank
WT0068,Deer,2026-01-06 03:49,Zone_A,Motion
WT0069,Boar,2026-05-28 10:18,Zone_C,Blank
WT0070,Deer,2026-06-25 02:37,Zone_B,Blank
WT0071,Boar,2026-01-28 11:55,Zone_B,Motion
WT0072,Peacock,2026-06-10 23:31,Zone_D,Blank
WT0073,Deer,2026-06-09 10:10,Zone_A,Motion
WT0074,Deer,2026-04-12 04:33,Zone_D,Blank
WT0075,Boar,2026-02-25 18:49,Zone_B,Motion
WT0076,Deer,2026-06-27 13:48,Zone_C,Motion
WT0077,Leopard,2026-07-06 19:10,Zone_A,Motion
WT0078,Elephant,2026-06-05 11:19,Zone_D,Blank
WT0079,Leopard,2026-04-05 09:24,Zone_D,Motion
WT0080,Elephant,2026-05-17 19:01,Zone_D,Motion
WT0081,Elephant,2026-03-24 06:14,Zone_A,Motion
WT0082,Boar,2026-04-26 05:54,Zone_C,Motion
WT0083,Deer,2026-04-03 19:19,Zone_D,Blank
WT0084,Elephant,2026-04-21 09:23,Zone_C,Motion
WT0085,Peacock,2026-03-29 14:38,Zone_D,Motion
WT0086,Leopard,2026-01-02 23:11,Zone_C,Motion
WT0087,Elephant,2026-02-09 03:35,Zone_A,Motion
WT0088,Leopard,2026-03-03 16:53,Zone_D,Motion
WT0089,Elephant,2026-03-10 15:22,Zone_C,Motion
WT0090,Boar,2026-07-29 17:26,Zone_C,Motion
WT0091,Peacock,2026-07-06 21:23,Zone_A,Blank
WT0092,Deer,2026-03-15 00:26,Zone_C,Motion
WT0093,Leopard,2026-04-23 10:44,Zone_B,Motion
WT0094,Elephant,2026-07-21 08:54,Zone_D,Blank
WT0095,Leopard,2026-06-09 11:26,Zone_B,Motion
WT0096,Deer,2026-07-04 21:15,Zone_B,Motion
WT0097,Deer,2026-07-09 23:06,Zone_D,Motion
WT0098,Elephant,2026-01-04 11:39,Zone_D,Motion
WT0099,Elephant,2026-06-19 19:00,Zone_A,Motion
WT0100,Peacock,2026-04-27 08:47,Zone_B,Blank
WT0101,Deer,2026-07-08 06:14,Zone_C,Motion
WT0102,Deer,2026-06-29 05:53,Zone_D,Motion
WT0103,Deer,2026-04-24 15:07,Zone_C,Motion
WT0104,Leopard,2026-07-30 21:01,Zone_B,Motion
WT0105,Elephant,2026-01-06 11:32,Zone_B,Motion
WT0106,Elephant,2026-02-26 17:47,Zone_C,Motion
WT0107,Deer,2026-03-21 13:53,Zone_A,Motion
WT0108,Leopard,2026-04-23 00:35,Zone_C,Motion
WT0109,Peacock,2026-05-17 23:01,Zone_B,Motion
WT0110,Leopard,2026-03-24 01:40,Zone_A,Motion
WT0111,Elephant,2026-04-30 07:41,Zone_A,Motion
WT0112,Elephant,2026-04-28 23:56,Zone_B,Blank
WT0113,Leopard,2026-07-05 18:12,Zone_B,Motion
WT0114,Deer,2026-02-06 01:56,Zone_D,Motion
WT0115,Boar,2026-05-10 21:43,Zone_A,Blank
WT0116,Leopard,2026-07-27 09:09,Zone_D,Motion
WT0117,Elephant,2026-07-03 22:23,Zone_A,Motion
WT0118,Boar,2026-04-26 02:07,Zone_D,Motion
WT0119,Elephant,2026-02-25 17:58,Zone_C,Motion
WT0120,Elephant,2026-05-13 10:21,Zone_C,Blank
WT0035,Peacock,2026-01-16 06:27,,Blank
WT0080,Elephant,2026-05-17 19:01,Zone_D,Motion
WT0101,Deer,2026-07-08 06:14,Zone_C,Motion
