observation_id,species,sighting_time,location,trigger_type,hour,activity_period
WT0001,Peacock,2026-04-16 04:16:00,Zone_B,Motion,4,Nocturnal
WT0002,Peacock,2026-03-01 20:49:00,Zone_B,Motion,20,Nocturnal
WT0003,Leopard,2026-05-16 11:35:00,Zone_B,Motion,11,Diurnal
WT0005,Peacock,2026-01-26 10:16:00,Zone_D,Motion,10,Diurnal
WT0006,Deer,2026-05-31 03:04:00,Zone_C,Motion,3,Nocturnal
WT0007,Elephant,2026-02-27 04:01:00,Zone_C,Motion,4,Nocturnal
WT0009,Boar,2026-05-18 07:43:00,Zone_A,Motion,7,Diurnal
WT0010,Leopard,2026-03-19 01:54:00,Zone_B,Motion,1,Nocturnal
WT0011,Elephant,2026-04-30 20:24:00,Zone_A,Motion,20,Nocturnal
WT0014,Peacock,2026-02-22 01:30:00,Zone_B,Motion,1,Nocturnal
WT0021,Elephant,2026-02-18 00:09:00,Zone_D,Motion,0,Nocturnal
WT0022,Boar,2026-05-15 11:54:00,Zone_D,Motion,11,Diurnal
WT0024,Peacock,2026-02-10 03:50:00,Zone_D,Motion,3,Nocturnal
WT0028,Leopard,2026-02-17 13:39:00,Zone_C,Motion,13,Diurnal
WT0029,Deer,2026-06-25 14:02:00,Zone_C,Motion,14,Diurnal
WT0031,Leopard,2026-01-19 09:45:00,Zone_C,Motion,9,Diurnal
WT0032,Leopard,2026-04-07 16:44:00,Zone_D,Motion,16,Diurnal
WT0033,Leopard,2026-01-18 19:12:00,Zone_C,Motion,19,Nocturnal
WT0036,Peacock,2026-03-26 06:34:00,Zone_A,Motion,6,Diurnal
WT0037,Elephant,2026-03-04 10:22:00,Zone_C,Motion,10,Diurnal
WT0038,Boar,2026-01-30 04:33:00,Zone_C,Motion,4,Nocturnal
WT0039,Peacock,2026-04-22 19:12:00,Zone_B,Motion,19,Nocturnal
WT0040,Boar,2026-05-10 04:56:00,Zone_C,Motion,4,Nocturnal
WT0042,Peacock,2026-07-19 22:39:00,Zone_B,Motion,22,Nocturnal
WT0043,Leopard,2026-01-02 11:04:00,Zone_D,Motion,11,Diurnal
WT0045,Leopard,2026-07-11 22:42:00,Zone_B,Motion,22,Nocturnal
WT0046,Leopard,2026-06-16 09:51:00,Zone_C,Motion,9,Diurnal
WT0047,Leopard,2026-02-14 05:15:00,Zone_C,Motion,5,Nocturnal
WT0048,Deer,2026-02-18 02:34:00,Zone_A,Motion,2,Nocturnal
WT0049,Elephant,2026-04-30 05:21:00,Zone_A,Motion,5,Nocturnal
WT0051,Peacock,2026-05-15 06:48:00,Zone_A,Motion,6,Diurnal
WT0052,Elephant,2026-02-22 18:28:00,Zone_D,Motion,18,Nocturnal
WT0053,Deer,2026-06-15 05:49:00,Zone_D,Motion,5,Nocturnal
WT0054,Deer,2026-03-23 23:12:00,Zone_D,Motion,23,Nocturnal
WT0056,Elephant,2026-06-20 07:03:00,Zone_B,Motion,7,Diurnal
WT0057,Elephant,2026-03-27 07:19:00,Zone_A,Motion,7,Diurnal
WT0058,Leopard,2026-06-22 00:44:00,Zone_C,Motion,0,Nocturnal
WT0059,Boar,2026-06-17 04:57:00,Zone_B,Motion,4,Nocturnal
WT0060,Elephant,2026-02-04 04:39:00,Zone_C,Motion,4,Nocturnal
WT0061,Leopard,2026-02-25 15:49:00,Zone_D,Motion,15,Diurnal
WT0062,Peacock,2026-05-02 06:05:00,Zone_D,Motion,6,Diurnal
WT0063,Leopard,2026-02-27 13:13:00,Zone_D,Motion,13,Diurnal
WT0064,Leopard,2026-07-29 21:23:00,Zone_D,Motion,21,Nocturnal
WT0065,Leopard,2026-05-27 12:59:00,Zone_A,Motion,12,Diurnal
WT0066,Deer,2026-06-26 12:52:00,Zone_C,Motion,12,Diurnal
WT0068,Deer,2026-01-06 03:49:00,Zone_A,Motion,3,Nocturnal
WT0071,Boar,2026-01-28 11:55:00,Zone_B,Motion,11,Diurnal
WT0073,Deer,2026-06-09 10:10:00,Zone_A,Motion,10,Diurnal
WT0075,Boar,2026-02-25 18:49:00,Zone_B,Motion,18,Nocturnal
WT0076,Deer,2026-06-27 13:48:00,Zone_C,Motion,13,Diurnal
WT0077,Leopard,2026-07-06 19:10:00,Zone_A,Motion,19,Nocturnal
WT0079,Leopard,2026-04-05 09:24:00,Zone_D,Motion,9,Diurnal
WT0080,Elephant,2026-05-17 19:01:00,Zone_D,Motion,19,Nocturnal
WT0081,Elephant,2026-03-24 06:14:00,Zone_A,Motion,6,Diurnal
WT0082,Boar,2026-04-26 05:54:00,Zone_C,Motion,5,Nocturnal
WT0084,Elephant,2026-04-21 09:23:00,Zone_C,Motion,9,Diurnal
WT0085,Peacock,2026-03-29 14:38:00,Zone_D,Motion,14,Diurnal
WT0086,Leopard,2026-01-02 23:11:00,Zone_C,Motion,23,Nocturnal
WT0087,Elephant,2026-02-09 03:35:00,Zone_A,Motion,3,Nocturnal
WT0088,Leopard,2026-03-03 16:53:00,Zone_D,Motion,16,Diurnal
WT0089,Elephant,2026-03-10 15:22:00,Zone_C,Motion,15,Diurnal
WT0090,Boar,2026-07-29 17:26:00,Zone_C,Motion,17,Diurnal
WT0092,Deer,2026-03-15 00:26:00,Zone_C,Motion,0,Nocturnal
WT0093,Leopard,2026-04-23 10:44:00,Zone_B,Motion,10,Diurnal
WT0095,Leopard,2026-06-09 11:26:00,Zone_B,Motion,11,Diurnal
WT0096,Deer,2026-07-04 21:15:00,Zone_B,Motion,21,Nocturnal
WT0097,Deer,2026-07-09 23:06:00,Zone_D,Motion,23,Nocturnal
WT0098,Elephant,2026-01-04 11:39:00,Zone_D,Motion,11,Diurnal
WT0099,Elephant,2026-06-19 19:00:00,Zone_A,Motion,19,Nocturnal
WT0101,Deer,2026-07-08 06:14:00,Zone_C,Motion,6,Diurnal
WT0102,Deer,2026-06-29 05:53:00,Zone_D,Motion,5,Nocturnal
WT0103,Deer,2026-04-24 15:07:00,Zone_C,Motion,15,Diurnal
WT0104,Leopard,2026-07-30 21:01:00,Zone_B,Motion,21,Nocturnal
WT0105,Elephant,2026-01-06 11:32:00,Zone_B,Motion,11,Diurnal
WT0106,Elephant,2026-02-26 17:47:00,Zone_C,Motion,17,Diurnal
WT0107,Deer,2026-03-21 13:53:00,Zone_A,Motion,13,Diurnal
WT0108,Leopard,2026-04-23 00:35:00,Zone_C,Motion,0,Nocturnal
WT0109,Peacock,2026-05-17 23:01:00,Zone_B,Motion,23,Nocturnal
WT0110,Leopard,2026-03-24 01:40:00,Zone_A,Motion,1,Nocturnal
WT0111,Elephant,2026-04-30 07:41:00,Zone_A,Motion,7,Diurnal
WT0113,Leopard,2026-07-05 18:12:00,Zone_B,Motion,18,Nocturnal
WT0114,Deer,2026-02-06 01:56:00,Zone_D,Motion,1,Nocturnal
WT0116,Leopard,2026-07-27 09:09:00,Zone_D,Motion,9,Diurnal
WT0117,Elephant,2026-07-03 22:23:00,Zone_A,Motion,22,Nocturnal
